station_name,station_lat,station_lon,nearest_river,nearby_pub_count
Exbury Central,50.8035469,-1.399376,Beaulieu River,8
Sea Mills,51.4795006,-2.6496514,River Avon,8
Ascott-under-Wychwood,51.8674576,-1.5639687,River Evenlode,8
Eggesford,50.8876902,-3.8751093,River Taw,8
Umberleigh,50.9966433,-3.9827596,River Taw,8
Bramley,51.3299792,-1.0608367,River Loddon,8
Islip,51.826163,-1.2376466,River Ray,8
Leighton Buzzard,51.9161989,-0.6773449,River Ouzel,8
Ferryside,51.7682462,-4.3695963,River Towy,8
North Station,50.8238061,-1.4540783,Beaulieu River,8
Perranwell,50.2166335,-5.1119791,Trewedna Water,8
Overton,51.2541369,-1.2599752,River Test,8
Page's Park,51.9088183,-0.6509031,Clipstone Brook,8
Castle Cary,51.099857,-2.5224232,River Brue,8
Beaulieu Road,50.8550478,-1.5049707,Beaulieu River,8
Llangadog,51.9402678,-3.8931979,Afon Bran,8
Ynyswen,51.6649577,-3.521481,Afon Rhondda Fawr,8
Portsmouth Arms,50.9570164,-3.951232,River Taw,8
Ledbury,52.0452528,-2.4256108,River Leadon,8
Goring & Streatley,51.5211885,-1.1331195,River Thames,8
Unnamed station,51.3584485,-0.9518419,River Whitewater,8
Luxulyan,50.3903538,-4.7484178,River Par,8
Lostwithiel,50.4071311,-4.6660608,River Fowey,8
Theale,51.4333628,-1.074364,River Kennet,6
Cranbrook,50.7500196,-3.4209803,River Clyst,6
Midsomer Norton,51.2809511,-2.483138,River Somer,6
Ammanford,51.7955509,-3.996828,River Loughor,6
Pangbourne,51.4853553,-1.0904319,River Thames,6
Honiton,50.7967239,-3.1868994,River Otter,6
Midgham,51.3960664,-1.1782912,River Kennet,6
Wallingford,51.5974066,-1.1354611,River Thames,6
Freshford,51.3417702,-2.3005891,River Avon,6
Common Lane,50.9949551,-2.4024297,River Cale,6
Rio Grande Train Station,50.9493579,-1.5504551,Cadnam River,6
Yate,51.5413993,-2.4321734,River Frome,6
Stonehenge Works,51.9375995,-0.6326945,Clipstone Brook,6
Nailsea and Backwell,51.4196718,-2.7496898,Land Yeo,6
Winchcombe,51.9663467,-1.9630872,River Isbourne,6
Tackley,51.8814551,-1.297508,River Cherwell,6
Boscarne Junction,50.4739305,-4.7613243,River Camel,6
Pantyffynnon,51.7786637,-3.997538,River Loughor,6
Brockenhurst,50.816746,-1.5734094,Lymington River,6
Bruton,51.1116892,-2.4471521,River Brue,6
California Crossing,51.985948,-1.9292816,River Isbourne,4
Unnamed station,52.1141441,-1.9348538,River Avon,4
Killington Lane,51.1967627,-3.9036851,River Heddon,4
Dorchester South,50.7091366,-2.4374501,River Frome,4
Thatcham,51.3938591,-1.2427417,River Kennet,4
Heyford,51.9185846,-1.2994468,River Cherwell,4
Lakeside,50.8508845,-1.8509193,Moors River,4
The Valley Railway Adventure,52.1172969,-1.9372088,River Avon,4
Evesham,52.0984969,-1.9472858,River Avon,4
Mottisfont & Dunbridge,51.033863,-1.5468958,River Dun,4
Liss,51.0439274,-0.8926226,River Rother,4
Causeland,50.4056895,-4.4664151,East Looe River,4
Kidwelly,51.7343994,-4.3176545,Gwendraeth Fach,4
Bere Ferrers,50.4510874,-4.1814548,River Tavy,4
Maiden Newton,50.7802255,-2.569663,River Frome,4
Marlow,51.571086,-0.7664026,River Thames,4
Chapelton,51.016229,-4.0245509,River Taw,4
Dorchester West,50.7109324,-2.4426484,River Frome,4
Hayles Abbey Halt,51.9753255,-1.9330953,River Isbourne,4
Oldfield Park,51.379209,-2.3801536,River Avon,4
Ffairfach,51.8730081,-3.9927793,River Cennen,4
